Noah,Liam,Henry,Erik,Mateo,Lucas,Emma,James,Isabella,Mia,Lily
1:01.392,59.031,57.752,1:03.008,1:04.309,1:05.995,1:11.991,1:11.978,1:13.978,1:17.886,1:14.160
55.895,56.212,56.993,58.261,58.512,59.848,1:08.514,1:09.611,1:09.741,1:15.597,1:13.190
56.456,56.719,57.864,58.155,58.102,1:00.701,1:07.264,1:09.015,1:10.318,1:21.403,1:12.006
57.772,57.521,58.475,57.293,1:00.251,59.283,1:08.405,1:08.807,1:13.304,2:00.252,1:18.371
56.836,56.81,1:02.250,59.794,1:04.450,1:01.634,1:09.585,1:14.920,1:16.562,1:19.296,1:19.689
57.258,57.867,57.6,58.808,1:02.249,1:00.982,1:09.939,1:08.330,1:14.901,1:24.435,1:27.128
54.807,55.004,57.937,59.489,1:04.753,1:02.289,1:07.311,1:10.697,1:23.802,1:25.646,
55.83,54.835,57.762,58.656,59.63,1:00.125,1:12.049,1:08.354,1:21.302,1:21.835,
57.591,58.273,1:03.621,58.441,1:01.593,1:00.588,1:10.122,1:10.622,1:12.680,1:20.033,
55.463,55.607,57.358,1:01.927,58.969,1:00.052,1:08.596,1:11.530,1:12.861,1:20.918,
57.307,57.227,57.822,59.292,1:02.859,1:04.053,1:10.379,1:08.368,1:12.072,1:17.645,
57.06,57.072,58.396,1:00.636,57.411,58.983,1:08.274,1:14.271,1:09.771,1:14.435,
57.559,58.841,56.626,1:04.825,58.441,59.98,1:07.124,1:16.574,1:12.047,1:13.845,
54.504,55.379,57.151,1:00.487,1:01.388,59.312,1:09.415,1:09.774,1:08.668,1:20.493,
55.499,57.617,56.773,1:00.471,56.307,1:04.293,1:05.694,1:07.685,1:11.778,1:23.412,
55.159,55.345,57.426,58.528,59.32,59.673,1:07.597,1:10.450,1:12.314,1:21.606,
55.035,56.498,56.436,1:00.310,58.95,59.631,1:10.538,1:10.518,1:11.454,1:23.323,
54.993,55.529,58.834,1:01.505,58.675,1:03.740,1:10.341,1:07.811,1:15.017,2:37.856,
55.552,55.438,58.911,1:00.732,57.179,59.424,1:05.425,1:10.675,1:11.366,1:40.454,
55.584,55.31,56.555,58.279,57.702,1:02.988,1:09.296,1:12.542,1:11.014,1:14.732,
54.999,54.79,56.799,56.789,56.748,58.479,1:07.734,1:06.325,1:08.425,1:17.437,
57.205,56.805,56.466,59.505,58.784,59.39,1:08.157,1:11.384,1:10.714,1:20.535,
54.211,54.859,59.004,58.004,59.533,1:01.770,1:06.504,1:07.349,1:06.544,1:25.908,
55.373,54.612,57.276,58.145,56.921,1:00.286,1:07.710,1:18.921,1:09.501,,
55.734,54.999,57.928,58.161,57.254,1:02.063,1:05.449,1:06.243,1:12.718,,
55.873,57.959,57.26,57.414,57.663,59.256,1:05.611,1:05.560,1:09.296,,
55.153,57.786,57.941,57.704,57.51,1:00.603,1:11.711,1:13.031,1:06.994,,
54.781,56.32,57.032,57.23,58.155,59.799,1:10.743,1:17.467,,,
55.39,56.514,58.704,59.721,59.168,58.865,1:23.541,,,,
54.925,54.806,58.431,58.641,58.457,59.707,,,,,
58.271,55.839,57.981,57.808,58.163,1:03.552,,,,,
53.905,56.795,57.433,57.012,57.171,59.716,,,,,
54.406,55.941,1:04.165,58.521,58.623,,,,,,
54.594,55.703,,,,,,,,,
55.886,1:02.874,,,,,,,,,
